Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
rf_n100_d10_norm_20260415_102953,RandomForest,"n_estimators=100, max_depth=10, use_normalized=True",0.777484,0.766961,0.777484,0.624717,0.7644700885380606,0.2355299114619393,0.20950110783253353,0.7904988921674665,2026-04-15T10:29:53,815
rf_n100_d10_raw_20260415_102904,RandomForest,"n_estimators=100, max_depth=10, use_normalized=False",0.781338,0.785419,0.781338,0.639023,0.7863851200048009,0.21361487999519915,0.223708666295639,0.776291333704361,2026-04-15T10:29:04,815
rf_n100_d15_norm_20260415_103004,RandomForest,"n_estimators=100, max_depth=15, use_normalized=True",0.779753,0.786194,0.779753,0.639058,0.7877186918993286,0.21228130810067133,0.22821350190589199,0.771786498094108,2026-04-15T10:30:05,815
rf_n100_d15_raw_20260415_102913,RandomForest,"n_estimators=100, max_depth=15, use_normalized=False",0.781028,0.793816,0.781028,0.645084,0.796842546277723,0.20315745372227698,0.2347869916308765,0.7652130083691235,2026-04-15T10:29:14,815
rf_n100_d20_norm_20260415_103012,RandomForest,"n_estimators=100, max_depth=20, use_normalized=True",0.768369,0.813104,0.768369,0.655288,0.8236929050641282,0.17630709493587185,0.2869548781384213,0.7130451218615786,2026-04-15T10:30:13,815
rf_n100_d20_raw_20260415_102916,RandomForest,"n_estimators=100, max_depth=20, use_normalized=False",0.774146,0.802028,0.774146,0.648863,0.8086279878956124,0.19137201210438756,0.26033539498692654,0.7396646050130735,2026-04-15T10:29:17,815
rf_n200_d10_norm_20260415_103045,RandomForest,"n_estimators=200, max_depth=10, use_normalized=True",0.777753,0.767582,0.777753,0.625232,0.7651746590223362,0.23482534097766378,0.20966912034946603,0.790330879650534,2026-04-15T10:30:45,815
rf_n200_d10_raw_20260415_103001,RandomForest,"n_estimators=200, max_depth=10, use_normalized=False",0.781452,0.786491,0.781452,0.63984,0.7876842412920534,0.21231575870794664,0.22477974609108378,0.7752202539089162,2026-04-15T10:30:01,815
rf_n200_d15_norm_20260415_103110,RandomForest,"n_estimators=200, max_depth=15, use_normalized=True",0.7797,0.786201,0.7797,0.639046,0.7877398067876586,0.21226019321234132,0.22833951129359137,0.7716604887064086,2026-04-15T10:31:11,815
rf_n200_d15_raw_20260415_103014,RandomForest,"n_estimators=200, max_depth=15, use_normalized=False",0.781136,0.794138,0.781136,0.64536,0.7972159464081908,0.2027840535918092,0.23494450336550074,0.7650554966344992,2026-04-15T10:30:14,815
rf_n200_d20_norm_20260415_103123,RandomForest,"n_estimators=200, max_depth=20, use_normalized=True",0.768588,0.813508,0.768588,0.655684,0.8241407629587071,0.17585923704129294,0.2869653789207296,0.7130346210792704,2026-04-15T10:31:25,815
rf_n200_d20_raw_20260415_103018,RandomForest,"n_estimators=200, max_depth=20, use_normalized=False",0.774364,0.801956,0.774364,0.648885,0.8084868515367749,0.1915131484632251,0.25975785195997103,0.740242148040029,2026-04-15T10:30:20,815
rf_n50_d10_norm_20260415_102920,RandomForest,"n_estimators=50, max_depth=10, use_normalized=True",0.777398,0.765871,0.777398,0.623938,0.7631420731930935,0.23685792680690657,0.20834602177862252,0.7916539782213775,2026-04-15T10:29:21,815
rf_n50_d10_raw_20260415_102818,RandomForest,"n_estimators=50, max_depth=10, use_normalized=False",0.781394,0.785791,0.781394,0.639311,0.7868318665894677,0.21316813341053234,0.22404469132950405,0.775955308670496,2026-04-15T10:28:18,815
rf_n50_d15_norm_20260415_102929,RandomForest,"n_estimators=50, max_depth=15, use_normalized=True",0.779348,0.786744,0.779348,0.639323,0.788494386217979,0.211505613782021,0.22979912003444256,0.7702008799655574,2026-04-15T10:29:29,815
rf_n50_d15_raw_20260415_102822,RandomForest,"n_estimators=50, max_depth=15, use_normalized=False",0.781032,0.794409,0.781032,0.645527,0.7975760108197133,0.2024239891802867,0.23551154561014795,0.764488454389852,2026-04-15T10:28:22,815
rf_n50_d20_norm_20260415_102933,RandomForest,"n_estimators=50, max_depth=20, use_normalized=True",0.767225,0.813591,0.767225,0.655246,0.8245663946550439,0.17543360534495614,0.2901156136132142,0.7098843863867859,2026-04-15T10:29:34,815
rf_n50_d20_raw_20260415_102823,RandomForest,"n_estimators=50, max_depth=20, use_normalized=False",0.773941,0.801393,0.773941,0.648311,0.8078911894238858,0.19210881057611418,0.2600098707353698,0.7399901292646303,2026-04-15T10:28:23,815
