Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
rf_n100_d10_norm_20260414_151646,RandomForest,"n_estimators=100, max_depth=10, use_normalized=True",0.777484,0.766961,0.777484,0.624717,687900,211939,19951,75280,2026-04-14T15:16:47,815
rf_n100_d15_norm_20260414_151703,RandomForest,"n_estimators=100, max_depth=15, use_normalized=True",0.779753,0.786194,0.779753,0.639058,708820,191019,21733,73498,2026-04-14T15:17:05,815
rf_n100_d20_norm_20260414_151712,RandomForest,"n_estimators=100, max_depth=20, use_normalized=True",0.768369,0.813104,0.768369,0.655288,741191,158648,27327,67904,2026-04-14T15:17:19,815
rf_n200_d10_norm_20260414_151751,RandomForest,"n_estimators=200, max_depth=10, use_normalized=True",0.777753,0.767582,0.777753,0.625232,688534,211305,19967,75264,2026-04-14T15:17:51,815
rf_n200_d15_norm_20260414_151817,RandomForest,"n_estimators=200, max_depth=15, use_normalized=True",0.7797,0.786201,0.7797,0.639046,708839,191000,21745,73486,2026-04-14T15:18:20,815
rf_n200_d20_norm_20260414_151831,RandomForest,"n_estimators=200, max_depth=20, use_normalized=True",0.768588,0.813508,0.768588,0.655684,741594,158245,27328,67903,2026-04-14T15:18:48,815
rf_n50_d10_norm_20260414_152047,RandomForest,"n_estimators=50, max_depth=10, use_normalized=True",0.777398,0.765871,0.777398,0.623938,686705,213134,19841,75390,2026-04-14T15:20:48,815
rf_n50_d15_norm_20260414_151617,RandomForest,"n_estimators=50, max_depth=15, use_normalized=True",0.779348,0.786744,0.779348,0.639323,709518,190321,21884,73347,2026-04-14T15:16:19,815
rf_n50_d20_norm_20260414_151622,RandomForest,"n_estimators=50, max_depth=20, use_normalized=True",0.767225,0.813591,0.767225,0.655246,741977,157862,27628,67603,2026-04-14T15:16:25,815
