Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
knn_k101_norm_20260416_105522,KNN,"n_neighbors=101, use_normalized=True",0.595664,0.912142,0.595664,0.630531,0.9870565734536956,0.012943426546304395,0.7957282817569908,0.2042717182430091,2026-04-16T10:55:24,815
knn_k11_norm_20260416_105402,KNN,"n_neighbors=11, use_normalized=True",0.612914,0.905351,0.612914,0.642977,0.9745754518308275,0.025424548169172487,0.7487477817097373,0.2512522182902626,2026-04-16T10:54:04,815
knn_k15_norm_20260416_105409,KNN,"n_neighbors=15, use_normalized=True",0.609857,0.906954,0.609857,0.641375,0.9772814914668069,0.02271850853319316,0.7575684388486942,0.24243156115130576,2026-04-16T10:54:10,815
knn_k201_norm_20260416_105626,KNN,"n_neighbors=201, use_normalized=True",0.590112,0.912204,0.590112,0.624008,0.9884479334636529,0.011552066536347059,0.8082242127038465,0.19177578729615358,2026-04-16T10:56:27,815
knn_k21_norm_20260416_105416,KNN,"n_neighbors=21, use_normalized=True",0.607226,0.908845,0.607226,0.64038,0.9802420210726586,0.019757978927341446,0.765790551396079,0.23420944860392098,2026-04-16T10:54:17,815
knn_k3_norm_20260416_105344,KNN,"n_neighbors=3, use_normalized=True",0.617699,0.884212,0.617699,0.629652,0.9472994613480856,0.052700538651914396,0.711900536589976,0.28809946341002407,2026-04-16T10:53:46,815
knn_k51_norm_20260416_105443,KNN,"n_neighbors=51, use_normalized=True",0.600513,0.911733,0.600513,0.635707,0.9854029443044812,0.014597055695518866,0.7843769360817381,0.21562306391826191,2026-04-16T10:54:44,815
knn_k5_norm_20260416_105351,KNN,"n_neighbors=5, use_normalized=True",0.614997,0.89116,0.614997,0.632775,0.9565322240978664,0.043467775902133604,0.726538627127721,0.273461372872279,2026-04-16T10:53:53,815
knn_k7_norm_20260416_105356,KNN,"n_neighbors=7, use_normalized=True",0.614562,0.899086,0.614562,0.638985,0.9664373293444716,0.03356267065552838,0.7373124297760183,0.2626875702239817,2026-04-16T10:53:58,815
