Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,Precision,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
fc_w30_128x64_d0p2_pw10_20260422_095608,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.825463,0.802525,0.825463,0.642741,0.664136,0.7972090142645942,0.20279098573540577,0.1462835887898416,0.8537164112101584,2026-04-22T09:56:08,715
fc_w30_128x64_d0p2_pw15_20260422_095616,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.824201,0.8106,0.824201,0.645985,0.670266,0.8074479562072961,0.19255204379270388,0.15904572564612326,0.8409542743538767,2026-04-22T09:56:16,715
fc_w30_128x64_d0p3_pw10_20260422_095625,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.825032,0.808045,0.825032,0.645048,0.668444,0.8041082297785059,0.19589177022149412,0.15404348104918875,0.8459565189508113,2026-04-22T09:56:25,715
fc_w30_128x64_d0p3_pw15_20260422_095611,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.824419,0.797119,0.824419,0.640193,0.659544,0.7907926106471678,0.20920738935283228,0.14195472327326364,0.8580452767267364,2026-04-22T09:56:11,715
fc_w30_256x128_d0p2_pw10_20260422_095608,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.82427,0.813978,0.82427,0.647618,0.673069,0.8115934790426339,0.18840652095736604,0.1630539344577695,0.8369460655422305,2026-04-22T09:56:08,715
fc_w30_256x128_d0p2_pw15_20260422_095609,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.824588,0.797686,0.824588,0.640472,0.66004,0.7914518986161612,0.20854810138383878,0.14227537997819534,0.8577246200218046,2026-04-22T09:56:09,715
fc_w30_256x128_d0p3_pw10_20260422_095607,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.824922,0.813261,0.824922,0.647459,0.672681,0.8105579307681038,0.18944206923189622,0.1607131405117681,0.8392868594882319,2026-04-22T09:56:07,715
fc_w30_256x128_d0p3_pw15_20260422_095641,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.821704,0.796652,0.821704,0.639203,0.658348,0.790845886442642,0.20915411355735805,0.1474379529275957,0.8525620470724042,2026-04-22T09:56:41,715
fc_w60_128x64_d0p2_pw10_20260422_095444,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.865776,0.856411,0.865776,0.646556,0.684098,0.8549568909717008,0.1450431090282992,0.12340578408478534,0.8765942159152147,2026-04-22T09:54:44,715
fc_w60_128x64_d0p2_pw15_20260422_095509,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.865686,0.821338,0.865686,0.627657,0.651536,0.8144499391554255,0.18555006084457448,0.08307885755343991,0.9169211424465601,2026-04-22T09:55:09,715
