Model File,Model Type,Hyperparameters,Balanced Accuracy,Accuracy,Recall,Precision,F1 Macro,TN,FP,FN,TP,Saved At,Num Records
fc_w60_128x64_d0p3_pw10_20260422_095512,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.867237,0.84942,0.867237,0.642474,0.677573,0.8466522538383865,0.15334774616161354,0.1121789114424286,0.8878210885575714,2026-04-22T09:55:12,715
fc_w60_128x64_d0p3_pw15_20260422_095522,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.866435,0.825535,0.866435,0.629708,0.65536,0.8191815757450224,0.1808184242549776,0.08631219687443865,0.9136878031255613,2026-04-22T09:55:22,715
fc_w60_256x128_d0p2_pw10_20260422_095529,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.866073,0.853857,0.866073,0.644963,0.681615,0.851959972037387,0.14804002796261295,0.11981318483923119,0.8801868151607688,2026-04-22T09:55:29,715
fc_w60_256x128_d0p2_pw15_20260422_095522,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.86767,0.833281,0.86767,0.633701,0.662564,0.8279393107733733,0.17206068922662662,0.09259924555415844,0.9074007544458416,2026-04-22T09:55:22,715
fc_w60_256x128_d0p3_pw10_20260422_095521,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.867925,0.850549,0.867925,0.643325,0.67888,0.8478497268466976,0.15215027315330243,0.11199928148015088,0.8880007185198491,2026-04-22T09:55:21,715
fc_w60_256x128_d0p3_pw15_20260422_095515,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.866305,0.831512,0.866305,0.632502,0.660593,0.826107500712011,0.17389249928798903,0.09349739536554698,0.906502604634453,2026-04-22T09:55:15,715
fc_w90_128x64_d0p2_pw10_20260422_095445,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.881926,0.882567,0.881926,0.648796,0.693912,0.8826469910961007,0.1173530089038993,0.11879403572013764,0.8812059642798623,2026-04-22T09:54:45,715
fc_w90_128x64_d0p2_pw15_20260422_095443,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.2, step_size=None",0.885908,0.860216,0.885908,0.633376,0.670248,0.8570194964691434,0.14298050353085662,0.08520399803375389,0.9147960019662461,2026-04-22T09:54:43,715
fc_w90_128x64_d0p3_pw10_20260422_095447,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.885325,0.871355,0.885325,0.640733,0.681986,0.869617362603623,0.13038263739637704,0.09896772079305259,0.9010322792069474,2026-04-22T09:54:47,715
fc_w90_128x64_d0p3_pw15_20260422_095446,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[128, 64], dropout=0.3, step_size=None",0.884426,0.862808,0.884426,0.634701,0.672529,0.8601185907276635,0.1398814092723365,0.09126659020154022,0.9087334097984597,2026-04-22T09:54:46,715
fc_w90_256x128_d0p2_pw10_20260422_095443,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.884258,0.881144,0.884258,0.648095,0.692899,0.8807568314399754,0.11924316856002456,0.1122398820252335,0.8877601179747665,2026-04-22T09:54:43,715
fc_w90_256x128_d0p2_pw15_20260422_095518,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.2, step_size=None",0.883938,0.863343,0.883938,0.634942,0.672952,0.8607806263432607,0.13921937365673934,0.09290512862526626,0.9070948713747338,2026-04-22T09:55:18,715
fc_w90_256x128_d0p3_pw10_20260422_095516,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.885546,0.873376,0.885546,0.642263,0.684304,0.8718625268652134,0.1281374731347866,0.10077011305915123,0.8992298869408487,2026-04-22T09:55:16,715
fc_w90_256x128_d0p3_pw15_20260422_095514,FullyConnected,"window_size=90, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=15.0, verbose=True, show_progress=False, device=cuda, hidden_sizes=[256, 128], dropout=0.3, step_size=None",0.885576,0.857986,0.885576,0.631934,0.667873,0.8545536536690206,0.14544634633097944,0.08340160576765525,0.9165983942323448,2026-04-22T09:55:14,715
