Model File,Model Type,Hyperparameters,Accuracy,Recall,F1 Macro,Saved At,Num Records
cnn1d_w30_f16_h128_20260409_140415,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=16, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.864466,0.779053,0.693318,2026-04-09T14:04:15,994
cnn1d_w30_f16_h64_20260409_140344,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=16, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.790949,0.788679,0.63441,2026-04-09T14:03:44,994
cnn1d_w30_f32_h128_20260409_140613,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=32, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.861443,0.783318,0.691975,2026-04-09T14:06:14,994
cnn1d_w30_f32_h64_20260409_140541,CNN1D,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=32, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.913102,0.5,0.477289,2026-04-09T14:05:41,994
cnn1d_w60_f16_h128_20260409_140233,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=16, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.818264,0.83431,0.625946,2026-04-09T14:02:33,994
cnn1d_w60_f16_h64_20260409_140147,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=16, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.940632,0.5,0.484704,2026-04-09T14:01:48,994
cnn1d_w60_f32_h128_20260409_141335,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=32, hidden_size=128, step_size=None, test_size=0.2, seed=42",0.894321,0.812655,0.694384,2026-04-09T14:13:35,994
cnn1d_w60_f32_h64_20260409_141214,CNN1D,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, num_filters=32, hidden_size=64, step_size=None, test_size=0.2, seed=42",0.90379,0.695239,0.654696,2026-04-09T14:12:14,994
fc_w30_128x64_20260409_141017,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[128, 64], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.806246,0.818937,0.655703,2026-04-09T14:10:17,994
fc_w30_128x64_20260409_141125,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[128, 64], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.809823,0.819353,0.658704,2026-04-09T14:11:25,994
fc_w30_256x128_20260409_141407,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[256, 128], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.809619,0.818958,0.658416,2026-04-09T14:14:07,994
fc_w30_256x128_20260409_141423,FullyConnected,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[256, 128], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.798819,0.818766,0.649799,2026-04-09T14:14:23,994
fc_w60_128x64_20260409_141346,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[128, 64], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.854496,0.858123,0.664984,2026-04-09T14:13:46,994
fc_w60_128x64_20260409_141350,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[128, 64], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.853848,0.857006,0.664018,2026-04-09T14:13:52,994
fc_w60_256x128_20260409_141509,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[256, 128], dropout=0.2, step_size=None, test_size=0.2, seed=42",0.858797,0.856242,0.668719,2026-04-09T14:15:09,994
fc_w60_256x128_20260409_141549,FullyConnected,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_sizes=[256, 128], dropout=0.3, step_size=None, test_size=0.2, seed=42",0.858062,0.857227,0.668271,2026-04-09T14:15:50,994
rnn_w30_h64_l1_20260409_143148,RNN,"window_size=30, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_size=64, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.809902,0.819835,0.658919,2026-04-09T14:31:48,994
rnn_w60_h64_l1_20260409_143428,RNN,"window_size=60, num_epochs=20, batch_size=1024, lr=0.001, max_pos_weight=10.0, verbose=True, hidden_size=64, num_layers=1, dropout=0.3, step_size=None, test_size=0.2, seed=42",0.865315,0.857258,0.675745,2026-04-09T14:34:28,994
